# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
7.51905e-17 6.97972e-17 3.63587e-18 3.50027e-18 5.27361e-17 4.90348e-17
7.40977e-17 6.87893e-17 3.58598e-18 3.45368e-18 5.18890e-17 4.82507e-17
7.30260e-17 6.78007e-17 3.53706e-18 3.40797e-18 5.10600e-17 4.74833e-17
7.19749e-17 6.68309e-17 3.48907e-18 3.36312e-18 5.02484e-17 4.67319e-17
7.09439e-17 6.58794e-17 3.44199e-18 3.31910e-18 4.94539e-17 4.59963e-17
6.99324e-17 6.49458e-17 3.39580e-18 3.27590e-18 4.86760e-17 4.52760e-17
6.89400e-17 6.40297e-17 3.35049e-18 3.23350e-18 4.79143e-17 4.45706e-17
6.79663e-17 6.31305e-17 3.30601e-18 3.19187e-18 4.71684e-17 4.38798e-17
6.70107e-17 6.22480e-17 3.26236e-18 3.15099e-18 4.64378e-17 4.32031e-17
6.60728e-17 6.13816e-17 3.21952e-18 3.11085e-18 4.57222e-17 4.25403e-17
6.51522e-17 6.05311e-17 3.17746e-18 3.07142e-18 4.50212e-17 4.18909e-17
6.42485e-17 5.96960e-17 3.13616e-18 3.03270e-18 4.43345e-17 4.12547e-17
6.33612e-17 5.88759e-17 3.09560e-18 2.99465e-18 4.36616e-17 4.06313e-17
6.24901e-17 5.80706e-17 3.05577e-18 2.95727e-18 4.30023e-17 4.00204e-17
6.16345e-17 5.72795e-17 3.01665e-18 2.92053e-18 4.23561e-17 3.94216e-17
6.07944e-17 5.65026e-17 2.97822e-18 2.88442e-18 4.17229e-17 3.88348e-17
5.99691e-17 5.57393e-17 2.94047e-18 2.84893e-18 4.11022e-17 3.82595e-17
5.91585e-17 5.49893e-17 2.90337e-18 2.81404e-18 4.04938e-17 3.76955e-17
5.83621e-17 5.42525e-17 2.86691e-18 2.77973e-18 3.98973e-17 3.71426e-17
5.75797e-17 5.35283e-17 2.83107e-18 2.74600e-18 3.93125e-17 3.66005e-17
5.68109e-17 5.28167e-17 2.79585e-18 2.71282e-18 3.87391e-17 3.60688e-17
5.60553e-17 5.21172e-17 2.76122e-18 2.68018e-18 3.81768e-17 3.55474e-17
5.53128e-17 5.14297e-17 2.72717e-18 2.64807e-18 3.76253e-17 3.50361e-17
5.45830e-17 5.07538e-17 2.69369e-18 2.61648e-18 3.70845e-17 3.45345e-17
5.38655e-17 5.00892e-17 2.66076e-18 2.58540e-18 3.65539e-17 3.40425e-17
5.31603e-17 4.94358e-17 2.62837e-18 2.55480e-18 3.60335e-17 3.35597e-17
5.24668e-17 4.87933e-17 2.59651e-18 2.52469e-18 3.55229e-17 3.30861e-17
5.17850e-17 4.81614e-17 2.56516e-18 2.49504e-18 3.50220e-17 3.26214e-17
5.11145e-17 4.75399e-17 2.53431e-18 2.46585e-18 3.45305e-17 3.21654e-17
5.04551e-17 4.69286e-17 2.50396e-18 2.43711e-18 3.40481e-17 3.17178e-17
4.98066e-17 4.63273e-17 2.47408e-18 2.40881e-18 3.35747e-17 3.12786e-17
4.91687e-17 4.57357e-17 2.44467e-18 2.38092e-18 3.31101e-17 3.08474e-17
4.85411e-17 4.51536e-17 2.41572e-18 2.35346e-18 3.26541e-17 3.04242e-17
4.79237e-17 4.45808e-17 2.38722e-18 2.32640e-18 3.22064e-17 3.00087e-17
4.73163e-17 4.40172e-17 2.35915e-18 2.29974e-18 3.17669e-17 2.96007e-17
4.67186e-17 4.34626e-17 2.33151e-18 2.27347e-18 3.13354e-17 2.92001e-17
4.61304e-17 4.29166e-17 2.30429e-18 2.24757e-18 3.09117e-17 2.88068e-17
4.55515e-17 4.23793e-17 2.27747e-18 2.22205e-18 3.04957e-17 2.84205e-17
4.49818e-17 4.18503e-17 2.25105e-18 2.19689e-18 3.00871e-17 2.80412e-17
4.44210e-17 4.13296e-17 2.22502e-18 2.17208e-18 2.96859e-17 2.76685e-17
4.38689e-17 4.08169e-17 2.19937e-18 2.14762e-18 2.92917e-17 2.73025e-17
4.33255e-17 4.03121e-17 2.17410e-18 2.12349e-18 2.89046e-17 2.69430e-17
4.27904e-17 3.98150e-17 2.14919e-18 2.09970e-18 2.85243e-17 2.65897e-17
4.22635e-17 3.93255e-17 2.12463e-18 2.07624e-18 2.81507e-17 2.62426e-17
4.17447e-17 3.88433e-17 2.10042e-18 2.05309e-18 2.77836e-17 2.59016e-17
4.12338e-17 3.83685e-17 2.07656e-18 2.03025e-18 2.74229e-17 2.55665e-17
4.07307e-17 3.79008e-17 2.05302e-18 2.00771e-18 2.70684e-17 2.52372e-17
4.02351e-17 3.74401e-17 2.02981e-18 1.98547e-18 2.67201e-17 2.49135e-17
3.97469e-17 3.69862e-17 2.00692e-18 1.96351e-18 2.63778e-17 2.45954e-17
3.92660e-17 3.65390e-17 1.98434e-18 1.94185e-18 2.60413e-17 2.42827e-17
3.87923e-17 3.60984e-17 1.96207e-18 1.92045e-18 2.57106e-17 2.39753e-17
3.83256e-17 3.56643e-17 1.94009e-18 1.89933e-18 2.53855e-17 2.36731e-17
3.78657e-17 3.52365e-17 1.91841e-18 1.87848e-18 2.50659e-17 2.33760e-17
3.74126e-17 3.48149e-17 1.89701e-18 1.85789e-18 2.47516e-17 2.30839e-17
3.69661e-17 3.43994e-17 1.87589e-18 1.83755e-18 2.44427e-17 2.27966e-17
3.65261e-17 3.39899e-17 1.85504e-18 1.81746e-18 2.41389e-17 2.25141e-17
3.60924e-17 3.35862e-17 1.83447e-18 1.79762e-18 2.38401e-17 2.22363e-17
3.56650e-17 3.31883e-17 1.81416e-18 1.77802e-18 2.35463e-17 2.19631e-17
3.52436e-17 3.27961e-17 1.79410e-18 1.75866e-18 2.32573e-17 2.16943e-17
3.48283e-17 3.24093e-17 1.77430e-18 1.73952e-18 2.29731e-17 2.14300e-17
3.44189e-17 3.20281e-17 1.75475e-18 1.72062e-18 2.26936e-17 2.11699e-17
3.40153e-17 3.16522e-17 1.73544e-18 1.70193e-18 2.24185e-17 2.09141e-17
3.36173e-17 3.12815e-17 1.71637e-18 1.68347e-18 2.21480e-17 2.06624e-17
3.32250e-17 3.09160e-17 1.69753e-18 1.66522e-18 2.18818e-17 2.04147e-17
3.28381e-17 3.05556e-17 1.67892e-18 1.64718e-18 2.16199e-17 2.01710e-17
3.24565e-17 3.02001e-17 1.66054e-18 1.62935e-18 2.13622e-17 1.99312e-17
